Datum,Tijd,Team thuis,Team uit,Uitslag,Setstanden,Regio,Poule,Code,Zaalcode,Zaal,Plaats,Eerste scheidsrechter,Tweede scheidsrechter,Beoordelaar/begeleider/jury,Lijnrechter 1,Lijnrechter 2,Lijnrechter 3,Lijnrechter 4,Wedstrijd status
18-01-2025,20:00,Zovoc HS 5,SKC HS 9,2-3,"25-23, 24-26, 19-25, 27-25, 15-17",West,H4H,H4H-JI,ZTMNW,De Limiet,Zoetermeer,Donja Amiri,,,,,,,gespeeld
17-01-2025,21:30,Punch HS 13,Inter Rijswijk HS 9,3-1,"25-19, 25-16, 24-26, 25-20",West,H4H,H4H-HA,DFTTU,TU-Sportcentrum,Delft,Sam Dilling,,,,,,,gespeeld
17-01-2025,19:30,Punch HS 11,SKC HS 8,2-3,"17-25, 25-20, 27-25, 19-25, 12-15",West,H4H,H4H-FC,DFTTU,TU-Sportcentrum,Delft,Joost van Haag,,,,,,,gespeeld
11-01-2025,20:00,Zovoc HS 5,Monza HS 6,4-0,"25-10, 25-12, 25-21, 25-11",West,H4H,H4H-JE,ZTMNW,De Limiet,Zoetermeer,Eef Kroon,,,,,,,gespeeld
10-01-2025,21:30,Inter Rijswijk HS 9,SKC HS 9,1-3,"20-25, 22-25, 25-21, 20-25",West,H4H,H4H-AI,RWKAL,De Altis,Rijswijk ZH,Richard Houtman,,,,,,,gespeeld
10-01-2025,21:15,PQV Westland - Data Giants HS 3,Punch HS 13,4-0,"26-24, 25-10, 25-13, 25-15",West,H4H,H4H-BH,DLRVR,SC Vreeloo,De Lier,Marieke van der Meer,,,,,,,gespeeld
10-01-2025,19:30,DEO HS 5,Punch HS 11,0-4,"19-25, 16-25, 21-25, 15-25",West,H4H,H4H-DF,NTDJA,Jan Janssenhal,Nootdorp,Daniel den Hollander,,,,,,,gespeeld
21-12-2024,17:00,SKC HS 8,Monza HS 6,4-0,"25-10, 25-12, 25-23, 25-10",West,H4H,H4H-CE,LDNUN,Universitair SC,Leiden,Maarten Stel,,,,,,,gespeeld
20-12-2024,21:30,Punch HS 11,PQV Westland - Data Giants HS 3,1-3,"21-25, 20-25, 14-25, 25-19",West,H4H,H4H-FB,DFTTU,TU-Sportcentrum,Delft,Gabriel Kilg,,,,,,,gespeeld
20-12-2024,19:30,Inter Rijswijk HS 9,DEO HS 5,4-0,"25-9, 25-9, 25-16, 25-16",West,H4H,H4H-AD,RWKAL,De Altis,Rijswijk ZH,Martijn Kaak,,,,,,,gespeeld
14-12-2024,13:00,SKC HS 8,Punch HS 11,3-1,"25-17, 19-25, 25-17, 25-17",West,H4H,H4H-CF,LDNUN,Universitair SC,Leiden,Niklas Lammerschmidt,,,,,,,gespeeld
13-12-2024,21:30,SKC HS 9,PQV Westland - Data Giants HS 3,3-1,"22-25, 25-13, 25-8, 25-14",West,H4H,H4H-IB,LDNUN,Universitair SC,Leiden,Wietske Talsma,,,,,,,gespeeld
13-12-2024,19:30,Monza HS 6,Punch HS 11,0-4,"23-25, 21-25, 14-25, 15-25",West,H4H,H4H-EF,MSRWI,De Wielepet,Monster,Naomi Poot,,,,,,,gespeeld
06-12-2024,21:30,DEO HS 5,SKC HS 9,0-4,"12-25, 15-25, 12-25, 21-25",West,H4H,H4H-DI,NTDJA,Jan Janssenhal,Nootdorp,Dennis Heintz,,,,,,,gespeeld
06-12-2024,19:30,SKC HS 8,Inter Rijswijk HS 9,4-0,"25-17, 25-20, 25-22, 25-18",West,H4H,H4H-CA,LDNUN,Universitair SC,Leiden,Pip van Steijn,,,,,,,gespeeld
06-12-2024,19:30,Monza HS 6,Punch HS 13,0-4,"14-25, 14-25, 25-27, 22-25",West,H4H,H4H-EH,MSRWI,De Wielepet,Monster,Jasper van der Ende,,,,,,,gespeeld
30-11-2024,15:15,SKC HS 9,Monza HS 6,3-1,"17-25, 25-12, 25-7, 26-24",West,H4H,H4H-IE,LDNUN,Universitair SC,Leiden,Carlijn Vos,,,,,,,gespeeld
29-11-2024,21:15,PQV Westland - Data Giants HS 3,SKC HS 8,4-0,"25-9, 25-14, 25-23, 25-15",West,H4H,H4H-BC,DLRVR,SC Vreeloo,De Lier,Petra Hartsuiker,,,,,,,gespeeld
29-11-2024,19:30,Punch HS 11,Zovoc HS 5,1-3,"25-18, 12-25, 16-25, 22-25",West,H4H,H4H-FJ,DFTTU,TU-Sportcentrum,Delft,Robin van Leerdam,,,,,,,gespeeld
23-11-2024,20:00,Zovoc HS 5,SKC HS 8,3-2,"19-25, 25-22, 19-25, 25-18, 15-10",West,H4H,H4H-JC,ZTMNW,De Limiet,Zoetermeer,Miranda Kooijmans,,,,,,,gespeeld
22-11-2024,21:30,DEO HS 5,PQV Westland - Data Giants HS 3,0-4,"9-25, 12-25, 8-25, 10-25",West,H4H,H4H-DB,NTDJA,Jan Janssenhal,Nootdorp,Marianne van Galen,,,,,,,gespeeld
22-11-2024,21:30,Monza HS 6,Inter Rijswijk HS 9,1-3,"21-25, 21-25, 23-25, 25-20",West,H4H,H4H-EA,MSRWI,De Wielepet,Monster,Johan Bouman,,,,,,,gespeeld
22-11-2024,19:30,Punch HS 11,SKC HS 9,3-2,"25-22, 15-25, 25-11, 21-25, 15-13",West,H4H,H4H-FI,DFTTU,TU-Sportcentrum,Delft,Anna Shishkina,,,,,,,gespeeld
16-11-2024,12:00,Punch HS 13,Zovoc HS 5,3-2,"25-22, 23-25, 16-25, 25-9, 15-11",West,H4H,H4H-HJ,DFTTU,TU-Sportcentrum,Delft,Anoek Gildemacher,,,,,,,gespeeld
15-11-2024,21:15,PQV Westland - Data Giants HS 3,Monza HS 6,4-0,"25-4, 25-16, 25-10, 25-9",West,H4H,H4H-BE,DLRVR,SC Vreeloo,De Lier,Nathalie van Veen-van den Ende,,,,,,,gespeeld
15-11-2024,19:30,Inter Rijswijk HS 9,Punch HS 11,1-3,"17-25, 23-25, 21-25, 25-22",West,H4H,H4H-AF,RWKAL,De Altis,Rijswijk ZH,Iliad Ahmadi,,,,,,,gespeeld
09-11-2024,20:00,Zovoc HS 5,DEO HS 5,4-0,"25-21, 25-8, 25-16, 25-19",West,H4H,H4H-JD,ZTMNW,De Limiet,Zoetermeer,Donja Amiri,,,,,,,gespeeld
09-11-2024,10:30,SKC HS 9,Punch HS 13,,"25-21, 22-25, 23-25, 25-7, 0-0",West,H4H,H4H-IH-1-2,LDNUN,Universitair SC,Leiden,Anne Gravesteijn,,,,,,,afgebroken
08-11-2024,19:30,Punch HS 11,Inter Rijswijk HS 9,1-3,"25-23, 19-25, 19-25, 22-25",West,H4H,H4H-FA,DFTTU,TU-Sportcentrum,Delft,Elise Bakker,,,,,,,gespeeld
26-10-2024,14:00,Punch HS 13,Punch HS 11,3-2,"23-25, 13-25, 25-21, 25-23, 15-12",West,H4H,H4H-HF,DFTTU,TU-Sportcentrum,Delft,Robin van Leerdam,,,,,,,gespeeld
25-10-2024,19:30,SKC HS 9,SKC HS 8,3-1,"26-24, 16-25, 25-23, 25-19",West,H4H,H4H-IC,LDNUN,Universitair SC,Leiden,Geerke Van 't Verlaat,,,,,,,gespeeld
19-10-2024,14:15,Inter Rijswijk HS 9,Punch HS 13,2-3,"15-25, 25-21, 25-13, 20-25, 14-16",West,H4H,H4H-AH,RWKAL,De Altis,Rijswijk ZH,Richard Houtman,,,,,,,gespeeld
18-10-2024,21:30,SKC HS 8,Zovoc HS 5,1-3,"20-25, 18-25, 19-25, 25-23",West,H4H,H4H-CJ,LDNUN,Universitair SC,Leiden,Quinty Walschots,,,,,,,gespeeld
18-10-2024,19:30,DEO HS 5,Monza HS 6,3-2,"22-25, 25-16, 19-25, 25-19, 15-9",West,H4H,H4H-DE,NTDJA,Jan Janssenhal,Nootdorp,Rowin Willemse,,,,,,,gespeeld
18-10-2024,19:30,SKC HS 9,Punch HS 11,0-4,"23-25, 27-29, 23-25, 13-25",West,H4H,H4H-IF,LDNUN,Universitair SC,Leiden,Lonneke de Jongh,,,,,,,gespeeld
12-10-2024,18:00,SKC HS 9,Inter Rijswijk HS 9,3-1,"24-26, 25-12, 26-24, 25-20",West,H4H,H4H-IA,LDNUN,Universitair SC,Leiden,Gijs Brouwer,,,,,,,gespeeld
11-10-2024,21:30,Punch HS 11,DEO HS 5,4-0,"25-7, 25-11, 25-8, 25-16",West,H4H,H4H-FD,DFTTU,TU-Sportcentrum,Delft,Thijs Wiebes,,,,,,,gespeeld
11-10-2024,21:30,Punch HS 13,PQV Westland - Data Giants HS 3,1-3,"21-25, 25-23, 16-25, 8-25",West,H4H,H4H-HB,DFTTU,TU-Sportcentrum,Delft,Nina Simon,,,,,,,gespeeld
11-10-2024,19:30,Monza HS 6,Zovoc HS 5,0-4,"9-25, 16-25, 16-25, 16-25",West,H4H,H4H-EJ,MSRWI,De Wielepet,Monster,Jari Sta,,,,,,,gespeeld
05-10-2024,20:00,Zovoc HS 5,Inter Rijswijk HS 9,3-1,"11-25, 25-19, 25-14, 25-20",West,H4H,H4H-JA,ZTMNW,De Limiet,Zoetermeer,Miranda Kooijmans,,,,,,,gespeeld
04-10-2024,21:30,SKC HS 8,DEO HS 5,4-0,"25-3, 25-20, 25-11, 25-19",West,H4H,H4H-CD,LDNUN,Universitair SC,Leiden,Thomas Weitering,,,,,,,gespeeld
04-10-2024,21:15,PQV Westland - Data Giants HS 3,SKC HS 9,3-1,"25-13, 25-14, 22-25, 25-16",West,H4H,H4H-BI,DLRVR,SC Vreeloo,De Lier,Jana Claessens,,,,,,,gespeeld
